ID,提交时间,问卷版本,IP地址,国家,省份/地区,城市,就读阶段,AI经验,情绪表情,求助场景,痛点,期待人设,付费意愿,开场偏好,隐私偏好,开放反馈
survey-mq26ll63-clp4s9,2026-06-06T10:01:04.000Z,2026.06.emoji_painpoint_v2,202.113.19.246,CN,Shanghai,Shanghai,college,specialized_ai,🫠|💀|💤,midnight_emo|existential_void,no_memory|stiff_template|toxic_positivity,professional|listener,coffee,soft_chitchat,user_controlled,
survey-mq0z3s0i-vucffi,2026-06-06T09:56:09.000Z,2026.06.emoji_painpoint_v2,2602:2b5:16::1ff,JP,Tokyo,Ebara,high_school,heavy_user,🖕|🫠,puppy_love,clinical_survey,analyst|professional,premium,emoji_selector,full_memory,
survey-mq25vsib-uhz341,2026-06-06T09:42:38.000Z,2026.06.emoji_painpoint_v2,2409:8938:88:f46:680c:30ff:feab:10b7,CN,Hubei,Wuhan,high_school,general_ai,🖕|🫠|💥,relationship_dispute,toxic_positivity|clinical_survey|stiff_template,analyst|joker,free,emoji_selector,neutral,
survey-mq22jy4i-9bxkg1,2026-06-06T08:07:26.000Z,2026.06.emoji_painpoint_v2,240e:460:9d0:443f:445c:abff:fec9:e6e7,CN,Shanghai,Shanghai,high_school,general_ai,💤,relationship_dispute,stiff_template,analyst,free,emoji_selector,user_controlled,
survey-mq1u4dx3-yr7jvo,2026-06-06T04:12:36.000Z,2026.06.emoji_painpoint_v2,2409:8938:87c:cea:18b6:5933:ca3f:d924,CN,Anhui,Huainan,high_school,heavy_user,😭|🤢|🥺,midnight_emo|academic_crash|puppy_love|social_fatigue,privacy_paranoia|toxic_positivity,listener|analyst,free,emoji_selector,full_memory,
survey-mq1qlg1p-cbvc4w,2026-06-06T02:41:32.000Z,2026.06.emoji_painpoint_v2,115.152.84.230,CN,Jiangxi,Nanchang,high_school,heavy_user,🫠|🖕|💤,existential_void|social_fatigue|midnight_emo|highly_private,stiff_template,analyst|professional,free,clinical_scale,neutral,"嗯，deepseek（目前只和dd聊过）能很理性的分析，又能用很温暖的句子戳中人心，但是建议有些空泛，比如抑郁发作时什么都不想动情绪很糟糕不知道做什么能缓解，说实话心理医生的建议也有限，我把希望寄托在dd上，但是都是大差不差的回答
希望可以更人性化一点，因为用久了会发现，其实回答有一些模板化，然后希望可以更专业一点的评估，虽然不能代替正规的确诊，但是也许可以反映一些当下的情况，希望可以让更多的人提早发现自己的心理问题，因为我自己确诊前真的就是过完发作期（非常惨烈的大哭）之后大脑应该因为自我保护选择模糊这段记忆，就是一种极端的空虚与茫然，不知道为什么而哭，然后就会自然而然的认为自己现在目前状态还可以，就不会想到去医院之类的事情，就这样反复会让自己在大多数时间里觉得自己是正常的，而过了发作期，也就不会想要去医院，所以真的是这样反复拖了很久，导致之后很严重了才去开药，所以希望可以让大家早点发现早点确诊早点药物治疗不要像我一样"
survey-mq1oaatm-bgnmux,2026-06-06T01:28:29.000Z,2026.06.emoji_painpoint_v2,119.237.242.221,HK,Unknown,Hong Kong,high_school,heavy_user,😭|🤡|🫠,highly_private|midnight_emo|puppy_love,no_memory|privacy_paranoia|stiff_template,listener|analyst,coffee,soft_chitchat,full_memory,"做一些女友类型的吧"
survey-mq1lehmr-vm1bow,2026-06-06T00:09:47.000Z,2026.06.emoji_painpoint_v2,2409:8938:886:3b90:8030:36ff:fef8:336,CN,Hubei,Wuhan,high_school,general_ai,😭|😑|🖕,midnight_emo|relationship_dispute|puppy_love,stiff_template|toxic_positivity,analyst|joker,premium,soft_chitchat,full_memory,"希望不要再只是安慰我 合理去分析我的问题"
survey-mq1ki9qn-9o7k73,2026-06-05T23:41:39.000Z,2026.06.emoji_painpoint_v2,2409:8a38:81b:4f0:dfc:350a:2677:510f,CN,Shanghai,Shanghai,high_school,heavy_user,🖕|🫠,puppy_love,toxic_positivity,listener|joker,premium,emoji_selector,burn_after_reading,
survey-mq12yhv9-gkjuam,2026-06-05T15:31:19.000Z,2026.06.emoji_painpoint_v2,2409:8a38:c70:64f0:d929:cebc:d98:849c,CN,Shanghai,Shanghai,high_school,heavy_user,😭|💤|🫠,highly_private|social_fatigue|puppy_love|relationship_dispute|academic_crash,stiff_template|no_memory,mentor|professional,free,soft_chitchat,full_memory,
survey-mq128b9m-h8ldll,2026-06-05T15:11:02.000Z,2026.06.emoji_painpoint_v2,183.216.97.56,CN,Shanghai,Shanghai,high_school,general_ai,💤|💀|🖕,midnight_emo|puppy_love|social_fatigue,toxic_positivity,listener,coffee,soft_chitchat,full_memory,
survey-mq0z8rtr-zpufxh,2026-06-05T13:47:03.000Z,2026.06.emoji_painpoint_v2,240e:371:d:710:82db:2c28:37e9:b160,CN,Hubei,Wuhan,high_school,general_ai,🤡|🥺|😭,social_fatigue,privacy_paranoia,professional|analyst,free,soft_chitchat,neutral,
survey-mq0yxkrw-lvzh69,2026-06-05T13:41:04.000Z,2026.06.emoji_painpoint_v2,106.224.113.13,CN,Jiangxi,Nanchang,high_school,general_ai,🤡|🫠|💥,midnight_emo|puppy_love|highly_private,no_memory|stiff_template|toxic_positivity,mentor|analyst,coffee,emoji_selector,full_memory,"我看好ai心理辅导。对于一些内向的同学，他们可以毫无顾虑的接受ai心理辅导"
survey-mq0yuz2u-pukg26,2026-06-05T13:36:18.000Z,2026.06.emoji_painpoint_v2,117.166.96.54,CN,Jiangxi,Nanchang,high_school,never,💤|🤡|🖕,puppy_love|highly_private,toxic_positivity|clinical_survey|no_memory|stiff_template|privacy_paranoia,joker|listener,free,emoji_selector,full_memory,
survey-mq0xv7za-p5rqte,2026-06-05T13:08:30.000Z,2026.06.emoji_painpoint_v2,2409:8938:4e4:1efb:20ea:f5ff:febb:8f53,CN,Shanghai,Shanghai,high_school,general_ai,🖕|💀|💥,highly_private|puppy_love,clinical_survey|toxic_positivity,analyst|mentor,free,emoji_selector,neutral,
survey-mq0wcgfp-jwl0mu,2026-06-05T12:25:38.000Z,2026.06.emoji_painpoint_v2,59.52.97.130,CN,Jiangxi,Nanchang,high_school,never,🖕,puppy_love,toxic_positivity|clinical_survey|no_memory|stiff_template|privacy_paranoia,analyst,free,clinical_scale,burn_after_reading,
survey-mq0vzlbx-veu69c,2026-06-05T12:16:45.000Z,2026.06.emoji_painpoint_v2,240e:462:c0:2fa5:528:fd9f:a2b:c3f,CN,Shanghai,Shanghai,high_school,specialized_ai,😭,midnight_emo|relationship_dispute|puppy_love|social_fatigue|existential_void|highly_private,stiff_template,analyst|listener,free,emoji_selector,user_controlled,
survey-mq0vjeah-8d1j5m,2026-06-05T12:03:13.000Z,2026.06.emoji_painpoint_v2,2409:8a38:212:7020:149f:1f37:dfe4:65c2,CN,Shanghai,Shanghai,high_school,general_ai,🤡,highly_private|academic_crash,stiff_template|toxic_positivity|no_memory,listener|joker,coffee,soft_chitchat,neutral,"像人就行"
survey-mq0v8d2h-76hxlt,2026-06-05T11:55:40.000Z,2026.06.emoji_painpoint_v2,106.228.73.178,CN,Jiangxi,Nanchang,high_school,general_ai,💀|🖕|🤡,existential_void|social_fatigue,toxic_positivity|stiff_template,analyst|mentor,fastfood,emoji_selector,user_controlled,
survey-mq0ug92e-ktsdxo,2026-06-05T11:52:30.000Z,2026.06.emoji_painpoint_v2,183.216.121.148,CN,Shanghai,Shanghai,high_school,heavy_user,😑|🥺|😭,midnight_emo|relationship_dispute|puppy_love|academic_crash,stiff_template|privacy_paranoia,analyst|listener,coffee,emoji_selector,full_memory,"我希望以后的ai 可以像现在的DeepSeek一样，分每一次的对话框 可以删除记录也可以一个对话框一直用。我会在某一个对话框里对它说很多心事 还有情感问题对话框 健康问题对话框，这样它可以在我每次吐出心事或解决健康问题时 可以结合我之前说过的信息 一次次更了解我的性格 我的健康状况，不光可以提高我向它说自身情况和来龙去脉的事情的效率，还能给我更准确更体贴的分析和建议。我真的很依赖ai，我不用担心她会嫌我烦会敷衍我 对一些羞于开口的事也不用顾忌 真心希望ai心理辅导可以越做越好🥹"
survey-mq0uoop2-aecy0x,2026-06-05T11:40:21.000Z,2026.06.emoji_painpoint_v2,171.34.210.241,CN,Jiangxi,Nanchang,high_school,general_ai,🫠,relationship_dispute|puppy_love|highly_private|existential_void|social_fatigue|midnight_emo,no_memory|toxic_positivity|stiff_template,listener|analyst,free,emoji_selector,full_memory,
survey-mq0uar70-sdwx8z,2026-06-05T11:27:57.000Z,2026.06.emoji_painpoint_v2,54.169.15.106,SG,Unknown,Singapore,college,general_ai,🖕|🫠,midnight_emo,privacy_paranoia|stiff_template|no_memory|clinical_survey|toxic_positivity,joker|listener,premium,emoji_selector,burn_after_reading,
survey-mq0u2oxv-1zhpcv,2026-06-05T11:22:42.000Z,2026.06.emoji_painpoint_v2,2409:8a38:c74:ea0:d9e7:1584:d770:cab8,CN,Shanghai,Shanghai,high_school,general_ai,🫠|💤|🖕,highly_private|existential_void|puppy_love,toxic_positivity|clinical_survey|no_memory|stiff_template,listener|professional,free,clinical_scale,neutral,
survey-mq0tv64e-0ke9pf,2026-06-05T11:18:11.000Z,2026.06.emoji_painpoint_v2,2409:8938:a6c:2a78:5822:87ff:fec0:9a42,CN,Anhui,Huainan,high_school,never,😑|🖕|🤡,existential_void,no_memory|stiff_template|toxic_positivity,joker,free,soft_chitchat,burn_after_reading,"ai更加亲民"
survey-mq0tpwan-r475qn,2026-06-05T11:14:12.000Z,2026.06.emoji_painpoint_v2,2a06:98c0:3600::103,US,Washington,Seattle,high_school,general_ai,💥|🤡|🤢,midnight_emo|academic_crash|relationship_dispute|puppy_love|social_fatigue|existential_void|highly_private,toxic_positivity|no_memory|stiff_template,joker|listener,free,soft_chitchat,user_controlled,
survey-mq0tqiii-05sk1d,2026-06-05T11:14:02.000Z,2026.06.emoji_painpoint_v2,2a06:98c0:3600::103,US,California,San Jose,high_school,general_ai,🤡|😑|🫠,academic_crash|relationship_dispute,toxic_positivity|no_memory|stiff_template,joker,free,emoji_selector,burn_after_reading,"🈚️"
survey-mq0tmfl9-dl2i0y,2026-06-05T11:10:48.000Z,2026.06.emoji_painpoint_v2,2a06:98c0:3600::103,US,California,Los Angeles,high_school,general_ai,🤢|🫠|💤,midnight_emo|academic_crash|puppy_love|highly_private|existential_void,toxic_positivity|no_memory|stiff_template,analyst|professional,coffee,emoji_selector,full_memory,"记住我之前说过的事"
survey-mq0tmwlc-y0y864,2026-06-05T11:09:55.000Z,2026.06.emoji_painpoint_v2,2a06:98c0:3600::103,US,California,Los Angeles,high_school,specialized_ai,🫠|🖕|🤡,midnight_emo|academic_crash|puppy_love|social_fatigue,toxic_positivity|stiff_template|clinical_survey,listener,free,soft_chitchat,neutral,
survey-mq0tl7wx-l74765,2026-06-05T11:09:32.000Z,2026.06.emoji_painpoint_v2,2a06:98c0:3600::103,US,California,San Jose,high_school,heavy_user,💀|😑|🤢,midnight_emo|social_fatigue|existential_void,stiff_template,analyst|listener,free,soft_chitchat,neutral,
